sample_idx,object_id,class_name,method,width_0,width_T,height_0,height_T,depth_0,depth_T,volume_0,volume_T,target_delta
0,chair_0890,chair,random,0.8990689516067505,0.8559776544570923,0.8731089234352112,0.8969126343727112,1.316007137298584,1.362083911895752,1.033046007156372,1.0457223653793335,0.012676358222961426
0,chair_0890,chair,property_gradient,0.8990689516067505,1.7437671422958374,0.8731089234352112,1.5290791988372803,1.316007137298584,1.8102915287017822,1.033046007156372,4.826885223388672,3.7938392162323
0,chair_0890,chair,wave,0.8990689516067505,1.8129843473434448,0.8731089234352112,1.5803046226501465,1.316007137298584,2.2054262161254883,1.033046007156372,6.318695068359375,5.285649299621582
0,chair_0890,chair,hj,0.8990689516067505,1.8046008348464966,0.8731089234352112,1.579444169998169,1.316007137298584,2.1946792602539062,1.033046007156372,6.255420207977295,5.222373962402344
1,table_0393,table,random,0.7539117932319641,0.7515276670455933,1.453028678894043,1.4250357151031494,0.8447537422180176,0.8338937759399414,0.9253900647163391,0.893061637878418,-0.03232842683792114
1,table_0393,table,property_gradient,0.7539117932319641,1.51789391040802,1.453028678894043,2.318504571914673,0.8447537422180176,1.878546118736267,0.9253900647163391,6.611062049865723,5.685671806335449
1,table_0393,table,wave,0.7539117932319641,1.4181499481201172,1.453028678894043,2.0999910831451416,0.8447537422180176,1.552598237991333,0.9253900647163391,4.623796463012695,3.698406457901001
1,table_0393,table,hj,0.7539117932319641,1.4368555545806885,1.453028678894043,2.0831284523010254,0.8447537422180176,1.5291295051574707,0.9253900647163391,4.576921463012695,3.651531457901001
2,sofa_0681,sofa,random,1.1412067413330078,1.135331630706787,1.3654167652130127,1.3932244777679443,1.1762523651123047,1.1843652725219727,1.832863211631775,1.8733956813812256,0.040532469749450684
2,sofa_0681,sofa,property_gradient,1.1412067413330078,2.039884090423584,1.3654167652130127,2.404846429824829,1.1762523651123047,2.0759267807006836,1.832863211631775,10.183683395385742,8.350820541381836
2,sofa_0681,sofa,wave,1.1412067413330078,1.8519890308380127,1.3654167652130127,2.156682252883911,1.1762523651123047,1.964820146560669,1.832863211631775,7.847789764404297,6.014926433563232
2,sofa_0681,sofa,hj,1.1412067413330078,1.8312751054763794,1.3654167652130127,2.1327896118164062,1.1762523651123047,1.913632869720459,1.832863211631775,7.474123001098633,5.641259670257568
3,toilet_0345,toilet,random,0.9430334568023682,0.9043467044830322,1.5266116857528687,1.5319756269454956,1.1856136322021484,1.1329237222671509,1.7068637609481812,1.5695946216583252,-0.13726913928985596
3,toilet_0345,toilet,property_gradient,0.9430334568023682,2.168271541595459,1.5266116857528687,2.8594908714294434,1.1856136322021484,2.043330669403076,1.7068637609481812,12.668962478637695,10.962099075317383
3,toilet_0345,toilet,wave,0.9430334568023682,1.9582374095916748,1.5266116857528687,2.4415762424468994,1.1856136322021484,2.0255303382873535,1.7068637609481812,9.68443775177002,7.977573871612549
3,toilet_0345,toilet,hj,0.9430334568023682,1.9544460773468018,1.5266116857528687,2.4499850273132324,1.1856136322021484,2.026491165161133,1.7068637609481812,9.70357608795166,7.9967122077941895
