sample_idx,object_id,class_name,method,width_0,width_T,height_0,height_T,depth_0,depth_T,volume_0,volume_T,target_delta
0,chair_0890,chair,random,0.8990689516067505,0.9499390125274658,0.8731089234352112,0.8756271004676819,1.316007137298584,1.3197124004364014,1.033046007156372,1.0977267026901245,0.05087006092071533
0,chair_0890,chair,property_gradient,0.8990689516067505,2.0066142082214355,0.8731089234352112,1.3418118953704834,1.316007137298584,1.4627201557159424,1.033046007156372,3.9383723735809326,1.107545256614685
0,chair_0890,chair,wave,0.8990689516067505,2.0081639289855957,0.8731089234352112,1.2540180683135986,1.316007137298584,1.379396677017212,1.033046007156372,3.473698616027832,1.1090949773788452
0,chair_0890,chair,hj,0.8990689516067505,2.0080690383911133,0.8731089234352112,1.2551791667938232,1.316007137298584,1.3754335641860962,1.033046007156372,3.466761589050293,1.1090000867843628
1,table_0393,table,random,0.7539117932319641,0.7648822069168091,1.453028678894043,1.4775885343551636,0.8447537422180176,0.8097517490386963,0.9253900647163391,0.9151661992073059,0.01097041368484497
1,table_0393,table,property_gradient,0.7539117932319641,2.0697789192199707,1.453028678894043,1.8989720344543457,0.8447537422180176,1.0811707973480225,0.9253900647163391,4.249490261077881,1.3158671855926514
1,table_0393,table,wave,0.7539117932319641,1.893179178237915,1.453028678894043,1.901395559310913,0.8447537422180176,0.9246072769165039,0.9253900647163391,3.3282926082611084,1.1392674446105957
1,table_0393,table,hj,0.7539117932319641,1.8672798871994019,1.453028678894043,1.9090664386749268,0.8447537422180176,0.9111059904098511,0.9253900647163391,3.247875452041626,1.113368034362793
2,sofa_0681,sofa,random,1.1412067413330078,1.1563860177993774,1.3654167652130127,1.369655728340149,1.1762523651123047,1.122235655784607,1.832863211631775,1.7774537801742554,0.015179276466369629
2,sofa_0681,sofa,property_gradient,1.1412067413330078,2.5600433349609375,1.3654167652130127,1.9907335042953491,1.1762523651123047,1.543196678161621,1.832863211631775,7.864692211151123,1.4188365936279297
2,sofa_0681,sofa,wave,1.1412067413330078,2.3256804943084717,1.3654167652130127,1.733384370803833,1.1762523651123047,1.320255994796753,1.832863211631775,5.322345733642578,1.1844737529754639
2,sofa_0681,sofa,hj,1.1412067413330078,2.3107573986053467,1.3654167652130127,1.7226696014404297,1.1762523651123047,1.310122013092041,1.832863211631775,5.215165615081787,1.1695506572723389
3,toilet_0345,toilet,random,0.9430334568023682,0.9500563144683838,1.5266116857528687,1.4537546634674072,1.1856136322021484,1.2688567638397217,1.7068637609481812,1.7524800300598145,0.007022857666015625
3,toilet_0345,toilet,property_gradient,0.9430334568023682,2.3540732860565186,1.5266116857528687,2.39937424659729,1.1856136322021484,1.6553916931152344,1.7068637609481812,9.350153923034668,1.4110398292541504
3,toilet_0345,toilet,wave,0.9430334568023682,2.3069605827331543,1.5266116857528687,2.151176929473877,1.1856136322021484,1.642472505569458,1.7068637609481812,8.151065826416016,1.3639271259307861
3,toilet_0345,toilet,hj,0.9430334568023682,2.304752826690674,1.5266116857528687,2.149198532104492,1.1856136322021484,1.614488124847412,1.7068637609481812,7.997159481048584,1.3617193698883057
